ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
CUW,Caribbean,SIDS,25838.3905,,,0.4441490499,0.4441490499,,,,,82.28585,0.7217942707922164,82.28585052490234,0.7217942707922164,,82.28585052490234,0.7217942707922164
CYP,Asia,Developed economies,107717.1685,19.5673118179,69.8778706976,,89.4451825155,3287.3083,0.0,15286.6748046875,96.74418523771268,,,18573.986328125,96.74418523771268,491679.0,510252.96875,96.74418523771268
CZE,Europe,Developed economies,78841.84408,,,,,,,,,,,,,,,
COD,Africa,LDCs,2342345.487,,,236.3872634144,236.3872634144,,,,,43794.598,384.1570317451601,43794.59765625,384.1570317451601,0.0,43794.59765625,384.1570317451601
DNK,Europe,Developed economies,147744.0325,304.3514896613,1182.1938121945,,1486.5453018558,51131.06,5.524409839992324e-05,258620.0,1636.7182592421111,,,309751.03125,1636.7182592421111,16410864.0,16720616.0,1636.7182079869392
DJI,Africa,LDCs,28895.09636,,,7.0912418152,7.0912418152,,,,,1313.7682,11.52409991990473,1313.7681884765625,11.52409991990473,,1313.7681884765625,11.52409991990473
DMA,Caribbean,SIDS,29307.45227,,513.932054341,0.0146515174,513.9467058584,,,112429.2109375,711.5262661269571,2.7144327,0.0238104335381522,112431.921875,711.5262071760217,83700.0,196131.921875,711.5262071760217
DOM,Caribbean,SIDS,398851.9321,,346.6886384632,190.5646372618,537.253275725,,,75842.5625,479.9818494586545,35305.21,309.6898577749042,111147.7734375,570.6829535239966,613543.0,724690.8125,570.6829535239966
DJ,Africa,,245.903579,,,,,,,,,,,,,,,
TLS,Asia,SIDS,89659.78377,,334.7823342356,8.5570678111,343.3394020467,,,73237.921875,463.49787880103895,1585.3364,13.906238440835777,74823.25,463.6778874975684,461810.0,536633.25,463.6778874975684
CL-EI,Oceania,,729932.3374,,,,,,,,,,,,,,,
ECU,Americas,Developing economies,484248.1905,0.0870523702,,1465.9738155052,1466.0608678754,14.6248,1.3487328710918758e-08,,,271595.56,2382.3792197434336,271610.1875,2382.3792197434336,34946708.0,35218320.0,2382.3792197434336
EGY,Africa,Developing economies,1226673.099,,2438.7337198099,2.0322796169,2440.7659994267997,,,533504.125,3376.366699302516,376.51294,3.302692832976971,533880.625,3376.361332493958,1000000.0,1533880.625,3376.3615312647976
SLV,Americas,Developing economies,115630.1488,,,369.4258995836,369.4258995836,,,,,68442.18,600.3604208905751,68442.1796875,600.3604208905751,2600795.0,2669237.0,600.3604208905751
GNQ,Africa,Developing economies,330928.1973,,,254.532945152,254.532945152,,,,,47156.38,413.64588537385976,47156.37890625,413.64588537385976,6000000.0,6047156.0,413.64588537385976
ERI,Africa,LDCs,199286.1331,,16.3330002004,73.4137384352,89.7467386356,,,3573.052490234375,22.612635727944856,13601.093,119.30593733278384,17174.146484375,121.3842731502249,,17174.146484375,121.3842731502249
EST,Europe,Developed economies,81842.11413,3.9012615752,,,3.9012615752,655.4119,0.0,,,,,655.4119262695312,0.0,,655.4119262695312,0.0
ETH,Africa,LDCs,1129076.695,,,,,,,,,,,,,,,
ATF-4,Africa,Developing economies,127985.5126,,,6.7230182021,6.7230182021,,,,,1245.5488,10.925692694655242,1245.548828125,10.925692694655242,,1245.548828125,10.925692694655242
FRO,Europe,Developed economies,266742.342,,,,,,,,,,,,,,,
FLK,Americas,Developing economies,562938.29,,,,,,,,,,,,,,,
SOM,Africa,LDCs,1454124.33,,,34.6370844949,34.6370844949,,,,,6417.085,56.289322475148296,6417.0849609375,56.289322475148296,12000000.0,12006417.0,56.28929336692181
FJI,Oceania,SIDS,1315157.77,,1736.2949932675,487.2593668274,2223.5543600949,,,379836.71875,2403.857573006114,90272.75,791.8535914984781,470109.5,2529.374377824564,2835137.0,3305246.5,2529.3745104902114
FIN,Europe,Developed economies,420076.1537,133.2318237148,,,133.2318237148,22382.951,2.7622049199961617e-05,,,,,22382.951171875,2.7622049199961617e-05,,22382.951171875,2.7622049199961617e-05
