ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
CAN,Canada,Americas,Developed economies,549299000.0,957434.84375,62887442.17708333,-548341565.15625,-486411557.8229167,61930007.33333331,535921728.0,35190276096.0,0.0017435560044180302,0.1144872730077275,0.11274371700330947,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
ES-CN,Canary Islands,Africa,,,1654428.1875,,,,,926792896.0,926792896.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CPV,Cape Verde,Africa,SIDS,534969.0,,,,,,,24621209600.0,,82.24776662414315,,1850841876.923,0.8356391510557877,,,,Source + high debt stress,Source + high debt stress,False,False
CYM,Cayman Islands,Caribbean,SIDS,,66187.54427083333,,,,,36975132.0,36975132.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CAF,Central African Republic,Africa,LDCs,281213.0,,,,,,,,,,,770761440.551,0.3755472216733612,,,,Source + low debt stress,Source + low debt stress,False,False
ES-CE,Ceuta,Africa,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
TCD,Chad,Africa,LDCs,3079389.0,,,,,,,,,,,2426601481.3105,0.2214573020420005,,,,Source + low debt stress,Source + low debt stress,False,False
ES-CHAF,Chafarinas Islands,Africa,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
IO,Chagos Archipelago,Africa,,,,,,,,,15435194368.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CHL-1,Chile,Americas,Developing economies,77287704.0,5674.134440104166,231385379.46777344,-77282029.86555989,154097675.46777344,231379705.3333333,3175091.5,129476993024.0,7.341574067012891e-05,2.9938190261912365,2.993745610450566,,,,,,Sink + low debt stress,Source + low debt stress,True,True
CHN,China,Asia,Developing economies,11902503000.0,9956995.583333332,28668079.916666664,-11892546004.416666,-11873834920.083334,18711084.33333206,5575266816.0,16045483008.0,0.0008370872012559397,0.0024091167126603858,0.001572029511404446,1827259180805.1423,0.10639689737816227,0.0030491923166568683,0.008779203353421701,0.005730011036764833,Sink + low debt stress,Sink + low debt stress,False,False
CXR,Christmas Island,Oceania,Developed economies,0.0,127111.6171875,,127111.6171875,,,71206568.0,71206568.0,inf,inf,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CP,Clipperton Island,Americas,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CCK,Cocos Islands,Oceania,Developed economies,,172603.1341145833,,,,,96690424.0,96690424.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
MAF,Collectivity of Saint Martin,Caribbean,Developing economies,,39057.90266927083,,,,,21879794.0,21879794.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
COL,Colombia,Americas,Developing economies,105238664.0,2236858.4791666665,34191363.479166664,-103001805.52083333,-71047300.52083334,31954504.999999985,1246629248.0,19127504896.0,0.02116924313553293,0.32480771838871575,0.3036384752531828,149116408496.23102,0.41793461824357336,0.008394014749701327,0.12830619908660743,0.11991218433690609,Sink + high debt stress,Sink + high debt stress,False,False
CO-QS,Colombian Exclusive Economic Zone (Quitasueño Bank),Caribbean,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
COM,Comores,Africa,SIDS,448731.0,1015474.5104166666,4682141.177083333,566743.5104166666,4233410.177083333,3666666.6666666665,568855680.0,2620622848.0,2.2654755045009063,10.436666236117045,8.17119073161614,309052047.451,0.2638901977782502,1.8386287907212095,8.477533884010938,6.638905093289729,Source + low debt stress,Source + low debt stress,False,False
COK,Cook Islands,Oceania,SIDS,72832.0,22.223875999450684,17440782.55720933,-72809.77612400055,17367950.55720933,17440760.333333332,12373.9619140625,9759388672.0,0.0003036196561083286,239.46592473770818,239.46562111805207,,,,,,Sink + low debt stress,Source + low debt stress,True,True
CRI,Costa Rica,Americas,Developing economies,8279033.5,250129.8880208333,42564269.888020836,-8028903.611979167,34285236.388020836,42314140.0,139269040.0,23817115648.0,0.03006202884321961,5.141062346466042,5.111000317622823,29463964312.3475,0.4030351906299914,0.0047504096639452405,0.808370885281756,0.8036204756178108,Sink + high debt stress,Source + high debt stress,True,True
HRV,Croatia,Europe,Developed economies,17524080.0,243645.9895833333,387012.65625,-17280434.010416668,-17137067.34375,143366.6666666679,136485856.0,216709952.0,0.013918606788204335,0.022099730311825393,0.008181123523621058,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
ATF-3,Crozet Islands,Africa,Developing economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
CUB,Cuba,Caribbean,SIDS,23097436.0,11154574.75,17522903.75,-11942861.25,-5574532.25,6368329.0,6248673792.0,9812217856.0,0.4834676569083784,0.7591834897811981,0.2757158328728197,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
CUW,Curaçao,Caribbean,SIDS,2023421.0,301.7147852579752,,-2023119.285214742,,,167990.828125,167990.828125,0.0001483688269755461,0.0001483688269755461,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
CYP,Cyprus,Asia,Developed economies,7174221.0,68104.61653645833,1870927.6165364583,-7106116.383463542,-5303293.383463542,1802823.0,38144044.0,1046954880.0,0.009501569052468673,0.26079337804714814,0.25129180899467946,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
CZE,Czech Republic,Europe,Developed economies,85624184.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
COD,Democratic Republic of the Congo,Africa,LDCs,4615953.0,160580.19140625,160580.19140625,-4455372.80859375,-4455372.80859375,0.0,89408944.0,89408944.0,0.03461488813672735,0.03461488813672735,0.0,8355503187.596001,0.14700667585846436,0.010754148195821007,0.010754148195821007,0.0,Sink + low debt stress,Sink + low debt stress,False,False
DNK,Denmark,Europe,Developed economies,27264778.0,1135753.78125,61308921.78125,-26129024.21875,34044143.78125,60173168.0,636121600.0,34307393536.0,0.04169476418207685,2.2486874886581867,2.20699272447611,,,,,,Sink + low debt stress,Source + low debt stress,True,True
