ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
FJI,Fiji,Oceania,SIDS,1146151.0,1723734.8333333333,12119237.166666666,577583.8333333333,10973086.166666666,10395502.333333332,964491520.0,6781533184.0,1.5038340745706729,10.573758782172547,9.069924707601874,2527499695.4290004,0.4736367284687187,0.3816242826274988,2.6831245156065795,2.301500232979081,Source + high debt stress,Source + high debt stress,False,False
ISL,Iceland,Europe,Developed economies,3762450.0,16192.012532552082,32295061.345865883,-3746257.9874674478,28532611.345865883,32278869.333333332,9060611.0,18071441408.0,0.004303582106228589,8.583519574698348,8.57921599259212,,,,,,Sink + low debt stress,Source + low debt stress,True,True
COM,Comores,Africa,SIDS,448731.0,1015474.5104166666,4682141.177083333,566743.5104166666,4233410.177083333,3666666.6666666665,568855680.0,2620622848.0,2.2654755045009063,10.436666236117045,8.17119073161614,309052047.451,0.2638901977782502,1.8386287907212095,8.477533884010938,6.638905093289729,Source + low debt stress,Source + low debt stress,False,False
MUS,Republic of Mauritius,Africa,SIDS,4138937.0,108438.38671875,25775105.053385414,-4030498.61328125,21636168.053385414,25666666.666666664,60736856.0,14423107584.0,0.026224477040667764,6.227494779968345,6.201270302927678,14535515568.1795,1.0183768292590765,0.004174546106593271,0.9922626820953775,0.9880881359887842,Sink + high debt stress,Source + high debt stress,True,True
SLE,Sierra Leone,Africa,LDCs,1231506.0,4562828.416666666,11896161.75,3331322.416666666,10664655.75,7333333.333333334,2552561664.0,6656096256.0,3.7041030071785377,9.658871911162342,5.954768903983804,1798351452.9209998,0.3222832989524481,1.4197642043520582,3.7015953876632497,2.2818311833111915,Source + low debt stress,Source + low debt stress,False,False
PNG,Papua New Guinea,Oceania,SIDS,8322015.0,10453354.083333332,55173263.75,2131339.083333332,46851248.75,44719909.66666667,5845473280.0,30869520384.0,1.2552624298194015,6.628949840068277,5.373687410248875,11567070522.191,0.4510225339640634,0.5056953181698245,2.6690821858802813,2.163386867710457,Source + high debt stress,Source + high debt stress,False,False
CRI,Costa Rica,Americas,Developing economies,8279033.5,250129.8880208333,42564269.888020836,-8028903.611979167,34285236.388020836,42314140.0,139269040.0,23817115648.0,0.03006202884321961,5.141062346466042,5.111000317622823,29463964312.3475,0.4030351906299914,0.0047504096639452405,0.808370885281756,0.8036204756178108,Sink + high debt stress,Source + high debt stress,True,True
NZL,New Zealand,Oceania,Developed economies,30119236.0,291934.7578125,131382920.42447916,-29827301.2421875,101263684.42447916,131090985.66666666,162834096.0,73517801472.0,0.009661504069383684,4.362062710096477,4.352401206027093,,,,,,Sink + low debt stress,Source + low debt stress,True,True
WSM,Samoa,Oceania,SIDS,256830.0,789962.5364583333,1787504.8697916665,533132.5364583333,1530674.8697916665,997542.3333333333,442523200.0,1000720896.0,3.0791697925360357,6.963227134131715,3.8840573415956796,326533634.702,0.3785506811043376,1.3537398952580921,3.0632043211238207,1.7094644258657286,Source + low debt stress,Source + low debt stress,False,False
GNQ,Equatorial Guinea,Africa,Developing economies,6141370.0,172906.72265625,22172906.72265625,-5968463.27734375,16031536.72265625,22000000.0,96272192.0,12406876160.0,0.0280142462734486,3.6102770385701644,3.582262792296716,,,,,,Sink + low debt stress,Source + low debt stress,True,True
