country_name,TERRITORY1,ISO,SOVEREIGN1,Continent,Groups,Population,Area_EEZ_KM2,GDP,CO2_emissions_2023,Debt (2015 US$),saltmarshes_area_km2,seagrasses_area_km2,mangroves_area_km2,uptake_total_partial,uptake_salt_mean,uptake_salt_se,uptake_seag_mean,uptake_seag_se,uptake_mang_mean,uptake_mang_se,uptake_total_mean,uptake_total_se,BCP Seq (tC),cBCW,cBCW_se,oBCW,oBCW_se,Total BCseq,Total BCseq_se,Total BCW,Total BCW_se,Area_EEZ_KM2_per_capita,GDP_per_capita,CO2_emissions_2023_per_capita,Debt (2015 US$)_per_capita,Total BCW_per_capita
Cape Verde,Cape Verde,CPV,Cape Verde,Africa,SIDS,522331.0,806027.0356,2214881716.0906777,534969.0,1850841876.923,,,,0.0,,,,,,,,,12000000.0,,,24621208000.0,83566977.93726042,12000000.0,0.0,24621207552.0,83566977.93726042,1.5431345939643635,4240.379598550876,1.0241953856845563,3543.427207887336,47137.174611501134
Cayman Islands,Cayman Islands,CYM,United Kingdom,Caribbean,SIDS,73038.0,118567.3013,5697740746.843133,,,,44.9848554788,44.3153331966,1.0,,,9841.0107421875,62.28042234531149,8210.139,72.0176126998594,18051.150390625,95.11540122828448,,36975128.0,246562.46153066482,,,18051.150390625,95.11540122828448,36975128.0,246562.46153066482,1.6233645677592488,78010.63483177432,,,506.24507790465236
Central African Republic,Central African Republic,CAF,Central African Republic,Africa,LDCs,5152421.0,620252.6857,2052368906.1435351,281213.0,770761440.551,,,,0.0,,,,,,,,,,,,,,,,,,0.12038082402427908,398.330979969132,0.05457880868042421,149.5920928338348,
Ceuta,Ceuta,ES-CE,Spain,Africa,,,53.21027835,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Chad,Chad,TCD,Chad,Africa,LDCs,19319064.0,1270766.578,10957423661.064392,3079389.0,2426601481.3105,,,,0.0,,,,,,,,,,,,,,,,,,0.06577785435153587,567.1819121808588,0.15939638690570102,125.60657603859588,
Chafarinas Islands,Chafarinas Islands,ES-CHAF,Spain,Africa,,,26.11627785,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Chagos Archipelago,Chagos Archipelago,IO,Republic of Mauritius,Africa,,,647738.231,,,,,,,0.0,,,,,,,,,7522878.0,,,15435194000.0,52388681.18321071,7522879.0,0.007071244595190174,15435194368.0,52388681.18321071,,,,,
Chile,Chile,CHL-1,Chile,Americas,Developing economies,19658835.0,3244211.698,279676771459.2289,77287704.0,,9.2112564191,,,1.0,1547.4908,8.631890374988005e-07,,,,,1547.4908447265625,8.631890374988005e-07,63103556.00000001,3175091.5,10776.596043555335,129473815000.0,439447800.4454388,63105092.0,0.08485493514228208,129476993024.0,439458583.719759,0.1650256334111355,14226.518074912827,3.931448837125903,,6586.198674743442
China,China,CHN,China,Asia,Developing economies,1422584933.0,10340834.12,17173989334581.701,11902503000.0,1827259180805.1423,5421.2208431855,8075.0073487158,206.55837377,0.0,910765.06,0.0,1766511.0,11179.64830419422,38268.31,335.68157427521305,2715544.25,11183.99704332737,5103023.0,5575266816.0,31510378.316230174,10470216000.0,35537015.98482013,7818567.5,11183.99704332737,16045483008.0,60106227.392896086,0.0072690451586555635,12072.382418928446,8.366813624898697,1284.4640333366601,11.279103718723274
Christmas Island,Christmas Island,CXR,Australia,Oceania,Developed economies,,328133.6411,,0.0,,,158.4675802562,,1.0,,,34666.8046875,219.39444397509786,,,34666.8046875,219.39444397509786,,71206576.0,549288.4288019837,,,34666.8046875,219.39444397509786,71206576.0,549288.4288019837,,,,,
Clipperton Island,Clipperton Island,CP,France,Americas,,,435659.2121,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Cocos Islands,Cocos Islands,CCK,Australia,Oceania,Developed economies,,467456.8656,,,,,215.1809427618,,1.0,,,47073.58203125,297.91270211070884,,,47073.58203125,297.91270211070884,,96690424.0,745871.1612083272,,,47073.58203125,297.91270211070884,96690424.0,745871.1612083272,,,,,
Collectivity of Saint Martin,Collectivity of Saint Martin,MAF,France,Caribbean,Developing economies,27515.0,1155.029918,,,,,48.6839978735,0.0103011623,1.0,,,10650.24609375,67.40179367590699,1.9084584,0.01674059637724574,10652.1552734375,67.40175964305493,,21879794.0,168757.10955238697,,,10652.1552734375,67.40175964305493,21879794.0,168757.10955238697,0.04197819073232782,,,,795.1951299291296
Colombia,Colombia,COL,Colombia,Americas,Developing economies,52321152.0,1855095.355,356793627488.7035,105238664.0,149116408496.23102,,430.8488816356,2784.0928490099,1.0,,,94253.6875,596.4996503069225,515798.62,4524.47736110245,610052.25,4562.412362906849,8714865.0,1246629120.0,10893245.174685521,17880875000.0,60689579.453251615,9324918.0,4562.412215808746,19127504896.0,65647003.704088114,0.035455934819630885,6819.29991695717,2.011398067076199,2850.0215074819266,365.5788178364268
Colombian Exclusive Economic Zone (Quitasueño Bank),Quitasueño Bank,CO-QS,Colombia,Caribbean,,,4008.865682,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Comores,Comores,COM,Comores,Africa,SIDS,850387.0,166148.6598,1171138792.0164423,448731.0,309052047.451,,1265.1507921094,0.9699378602,1.0,,,276767.90625,1751.5700204881884,179.69682,1.5762627414906154,276947.59375,1751.5674341923996,1000000.0,568855680.0,4385909.774601665,2051767300.0,6963914.8730173595,1276947.5,1751.5675299812006,2620623104.0,9746911.53843594,0.19538005613914605,1377.1833200841997,0.5276785745783978,363.4251787139267,3081.682932594219
Cook Islands,Cook Islands,COK,New Zealand,Oceania,SIDS,14222.0,1969814.156,,72832.0,,,,0.0327153751,1.0,,,,,6.0610576,0.053166322944085284,6.0610575675964355,0.053166322944085284,4756571.0,12373.9619140625,124.06844595723811,9759376000.0,33124354.834895607,4756577.0,0.053193745908050004,9759389696.0,33124395.625021797,138.50472198003092,,5.121080016875264,,686217.8101532836
Costa Rica,Costa Rica,CRI,Costa Rica,Americas,Developing economies,5105525.0,632867.9047,73105190309.2925,8279033.5,29463964312.3475,,,368.211787166,1.0,,,,,68217.24,598.3873249218531,68217.2421875,598.3873249218531,11540220.0,139269040.0,1396391.2188544169,23677846000.0,80365106.64198826,11608438.0,598.3873599703361,23817115648.0,80840831.59743915,0.12395745877260418,14318.838965491796,1.6215831868417059,5770.995992057135,4664.968959705418
Croatia,Croatia,HRV,Croatia,Europe,Developed economies,3896023.0,112170.1033,66407902523.77938,17524080.0,,5.3796232593,299.6174028317,,1.0,903.7766,8.631890374988005e-07,65545.140625,414.81290169691044,,,66448.90625,414.81290169691044,39100.0,136485840.0,1041372.7255373788,80224104.0,272289.06553859747,105548.9140625,414.81290169691044,216709936.0,1189278.0909237887,0.028790924309225075,17045.048893135227,4.49794059223983,,55.62337183327716
Crozet Islands,Crozet Islands,ATF-3,France,Africa,Developing economies,,575821.6657,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Cuba,Cuba,CUB,Cuba,Caribbean,SIDS,11019931.0,462964.0389,83527267339.32599,23097436.0,,,13906.1906719471,,1.0,,,3042156.75,19252.77755814175,,,3042156.75,19252.77755814175,1736817.0,6248673280.0,48202351.14475136,3563544300.0,12095045.684866656,4778973.5,19252.77755814175,9812218880.0,54681180.199090935,0.04201151884707808,7579.654295414915,2.0959692034369364,,890.4065624367339
Curaçao,Curaçao,CUW,Netherlands,Caribbean,SIDS,185427.0,25838.3905,2608672800.245662,2023421.0,,,,0.4441490499,1.0,,,,,82.28585,0.7217942707922164,82.28585052490234,0.7217942707922164,,167990.828125,1684.3724933704957,,,82.28585052490234,0.7217942707922164,167990.828125,1684.3724933704957,0.13934535153995914,14068.46252296409,10.912224217616636,,0.9059674595662983
Cyprus,Cyprus,CYP,Cyprus,Asia,Developed economies,1344976.0,107717.1685,28577218405.253716,7174221.0,,19.5673118179,69.8778706976,,1.0,3287.3083,0.0,15286.6767578125,96.74418523771268,,,18573.984375,96.74418523771268,491678.99999999994,38144044.0,253258.86206683022,1008810900.0,3424010.7160747238,510253.0,96.74418523771268,1046954880.0,3561581.2142101526,0.08008854321564102,21247.381667222104,5.334088489311333,,778.4190052461903
Czech Republic,Czech Republic,CZE,Czech Republic,Europe,Developed economies,10809716.0,78841.84408,215302078357.6402,85624184.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.007293609201203806,19917.459289183935,7.921039183638127,,
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,Africa,LDCs,105789731.0,2342345.487,56837576516.86883,4615953.0,8355503187.596001,,,236.3872634144,1.0,,,,,43794.594,384.1570180967252,43794.59375,384.1570180967252,0.0,89408944.0,896465.2863086096,0.0,0.0,43794.59375,384.1570180967252,89408944.0,896465.2863086096,0.02214152039955561,537.2693169705558,0.04363328043626465,78.98217632858902,0.8451571164312726
