run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc,draw,systematic_centered,log_gscc_adj,gscc_adj,fitted_log,residual
bhm_sr,bootstrap,expected,SSP2,rcp45,,,3.0,448.6731679430414,169,ssp2_rcp45,fixed_dr3p0,6.106294711646384,8343,0.18545425650170175,5.920840455144682,372.72484078317746,6.693346609319803,-0.5870518976734189
bhm_richpoor_lr,bootstrap,uncertain,SSP4,rcp60,1.0,0p7,,996.0245369005337,169,ssp4_rcp60,ramsey_prtp1p0_eta0p7,6.903771892723453,8344,0.5668108344766116,6.336961058246842,565.0764649855021,7.074703187294713,-0.17093129457125933
djo_richpoor,estimates,uncertain,SSP5,rcp60,,,5.0,239.92550478573864,169,ssp5_rcp60,fixed_dr5p0,5.480328478432868,8345,-0.9059532202875451,6.3862816987204125,593.6451193910648,5.601939132530556,-0.12161065409768845
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,2.0,1p5,,275.13759112349663,169,ssp5_rcp60,ramsey_prtp2p0_eta1p5,5.617271303900741,8346,-0.12054497447405693,5.7378162783747975,310.38587403784203,6.387347378344044,-0.7700760744433035
bhm_richpoor_lr,bootstrap,uncertain,SSP3,rcp85,,,3.0,333.0553576613116,169,ssp3_rcp85,fixed_dr3p0,5.808308715387393,8347,0.08994997744655076,5.718358737940842,304.40490451809853,6.597842330264652,-0.7895336148772589
bhm_sr,bootstrap,expected,SSP2,rcp85,2.0,1p5,,803.5503887472441,169,ssp2_rcp85,ramsey_prtp2p0_eta1p5,6.689039894782211,8348,0.015773591667478604,6.673266303114732,790.974953656083,6.52366594448558,0.16537395029663138
bhm_sr,bootstrap,uncertain,SSP3,rcp85,,,3.0,170.9602021523686,169,ssp3_rcp85,fixed_dr3p0,5.141430793464385,8349,0.1655309759448907,4.975899817519494,144.87913129405982,6.673423328762992,-1.531992535298607
bhm_lr,estimates,expected,SSP3,rcp45,1.0,1p5,,2253.6769566908088,169,ssp3_rcp45,ramsey_prtp1p0_eta1p5,7.720318364315476,8350,0.5683656623064789,7.151952702008997,1276.5963351254363,7.07625801512458,0.6440603491908963
bhm_richpoor_sr,bootstrap,uncertain,SSP5,rcp45,1.0,0p7,,625.6101794656774,169,ssp5_rcp45,ramsey_prtp1p0_eta0p7,6.438727460623142,8351,0.27584019334094717,6.162887267282195,474.79696344847474,6.783732546159048,-0.3450050855359059
bhm_richpoor_lr,estimates,expected,SSP2,rcp85,,,5.0,201.60844762115445,169,ssp2_rcp85,fixed_dr5p0,5.306327438202023,8352,-0.6039400616254554,5.910267499827478,368.80479743509335,5.903952291192645,-0.5976248529906227
bhm_richpoor_sr,estimates,expected,SSP4,rcp60,2.0,1p5,,241.64118703869778,169,ssp4_rcp60,ramsey_prtp2p0_eta1p5,5.487453927684802,8353,-0.5957486305438306,6.083202558228633,438.43104972507035,5.91214372227427,-0.4246897945894679
bhm_richpoor_sr,bootstrap,uncertain,SSP5,rcp45,1.0,1p5,,199.46016810436092,169,ssp5_rcp45,ramsey_prtp1p0_eta1p5,5.295614557770724,8354,0.012759832537357851,5.282854725233366,196.93125830583324,6.520652185355459,-1.2250376275847348
djo_richpoor,estimates,uncertain,SSP4,rcp85,2.0,1p5,,135.754971462187,169,ssp4_rcp85,ramsey_prtp2p0_eta1p5,4.910851580332691,8355,-0.4410149492134666,5.351866529546158,211.0017715782265,6.066877403604634,-1.1560258232719427
bhm_sr,estimates,uncertain,SSP5,rcp60,,,5.0,289.15040244258023,169,ssp5_rcp60,fixed_dr5p0,5.666946976415744,8356,-0.6614744298244223,6.3284214062401665,560.2714543772822,5.846417922993679,-0.1794709465779345
