run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc
bhm_lr,bootstrap,uncertain,SSP5,rcp45,,,5.0,540.2822546536925,169,ssp5_rcp45,fixed_dr5p0,6.292091696804631
bhm_lr,bootstrap,uncertain,SSP5,rcp60,1.0,0p7,,2425.6098004284027,169,ssp5_rcp60,ramsey_prtp1p0_eta0p7,7.793838235853975
bhm_lr,bootstrap,uncertain,SSP5,rcp60,1.0,1p5,,1201.403074445867,169,ssp5_rcp60,ramsey_prtp1p0_eta1p5,7.0912453814654475
bhm_lr,bootstrap,uncertain,SSP5,rcp60,2.0,0p7,,1190.8779020627635,169,ssp5_rcp60,ramsey_prtp2p0_eta0p7,7.082446046940328
bhm_lr,bootstrap,uncertain,SSP5,rcp60,2.0,1p5,,609.1551169667468,169,ssp5_rcp60,ramsey_prtp2p0_eta1p5,6.412072942940374
bhm_lr,bootstrap,uncertain,SSP5,rcp60,,,3.0,1484.0342204537935,169,ssp5_rcp60,fixed_dr3p0,7.3025194830664395
bhm_lr,bootstrap,uncertain,SSP5,rcp60,,,5.0,550.5922701466252,169,ssp5_rcp60,fixed_dr5p0,6.31099455364633
bhm_lr,bootstrap,uncertain,SSP5,rcp85,1.0,0p7,,2410.645517603938,169,ssp5_rcp85,ramsey_prtp1p0_eta0p7,7.7876498402475836
bhm_lr,bootstrap,uncertain,SSP5,rcp85,1.0,1p5,,1771.4435835321738,169,ssp5_rcp85,ramsey_prtp1p0_eta1p5,7.47955007707652
bhm_lr,bootstrap,uncertain,SSP5,rcp85,2.0,0p7,,1170.137101259836,169,ssp5_rcp85,ramsey_prtp2p0_eta0p7,7.064876201490658
bhm_lr,bootstrap,uncertain,SSP5,rcp85,2.0,1p5,,815.6877777006268,169,ssp5_rcp85,ramsey_prtp2p0_eta1p5,6.704031656377465
bhm_lr,bootstrap,uncertain,SSP5,rcp85,,,3.0,1090.9720456070547,169,ssp5_rcp85,fixed_dr3p0,6.9948243627798306
bhm_lr,bootstrap,uncertain,SSP5,rcp85,,,5.0,458.92281166607853,169,ssp5_rcp85,fixed_dr5p0,6.128882029614167
bhm_lr,estimates,expected,SSP1,rcp45,1.0,0p7,,2057.769282237591,169,ssp1_rcp45,ramsey_prtp1p0_eta0p7,7.629377802353178
bhm_lr,estimates,expected,SSP1,rcp45,1.0,1p5,,1356.9645882033576,169,ssp1_rcp45,ramsey_prtp1p0_eta1p5,7.213005563844672
bhm_lr,estimates,expected,SSP1,rcp45,2.0,0p7,,1021.2403084423829,169,ssp1_rcp45,ramsey_prtp2p0_eta0p7,6.928773156231884
bhm_lr,estimates,expected,SSP1,rcp45,2.0,1p5,,668.4879404460376,169,ssp1_rcp45,ramsey_prtp2p0_eta1p5,6.505018356657571
bhm_lr,estimates,expected,SSP1,rcp45,,,3.0,1079.6700997381763,169,ssp1_rcp45,fixed_dr3p0,6.984410810249485
bhm_lr,estimates,expected,SSP1,rcp45,,,5.0,418.9434073874063,169,ssp1_rcp45,fixed_dr5p0,6.037735844898739
bhm_lr,estimates,expected,SSP1,rcp60,1.0,0p7,,2061.87439184825,169,ssp1_rcp60,ramsey_prtp1p0_eta0p7,7.631370747031969
bhm_lr,estimates,expected,SSP1,rcp60,1.0,1p5,,1370.6675679248347,169,ssp1_rcp60,ramsey_prtp1p0_eta1p5,7.223053175999385
bhm_lr,estimates,expected,SSP1,rcp60,2.0,0p7,,1023.9435545415505,169,ssp1_rcp60,ramsey_prtp2p0_eta0p7,6.931416681562134
bhm_lr,estimates,expected,SSP1,rcp60,2.0,1p5,,668.8182020678219,169,ssp1_rcp60,ramsey_prtp2p0_eta1p5,6.505512277410642
bhm_lr,estimates,expected,SSP1,rcp60,,,3.0,1093.9367143761688,169,ssp1_rcp60,fixed_dr3p0,6.997538133389265
bhm_lr,estimates,expected,SSP1,rcp60,,,5.0,428.03592474788434,169,ssp1_rcp60,fixed_dr5p0,6.059207128386173
bhm_lr,estimates,expected,SSP2,rcp45,1.0,0p7,,2199.371479147728,169,ssp2_rcp45,ramsey_prtp1p0_eta0p7,7.695926907232387
bhm_lr,estimates,expected,SSP2,rcp45,1.0,1p5,,1599.5280682178502,169,ssp2_rcp45,ramsey_prtp1p0_eta1p5,7.37746390735555
bhm_lr,estimates,expected,SSP2,rcp45,2.0,0p7,,1064.4994953524738,169,ssp2_rcp45,ramsey_prtp2p0_eta0p7,6.970260010263411
